Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","47uF","TantalC_SizeC_Reflow",143.1563,-100.6071,180.0000,bottom
"C3","4u7","SMD-0805",120.9313,-86.9546,90.0000,bottom
"C4","10uF","SMD-0805",144.7438,-103.7821,180.0000,bottom
"C5","1pFNP0 251R15S1R0AV4E","SMD-0805",122.5188,-92.9871,180.0000,bottom
"C6","10uF","SMD-0805",135.4093,-93.0506,-90.0000,bottom
"C7","10uF","SMD-0805",155.7293,-91.9711,90.0000,bottom
"C8","10uF","SMD-0805",148.8713,-83.8431,90.0000,bottom
"C9","10uF","SMD-0805",155.8563,-99.9721,-90.0000,bottom
"C10","100nF","SMD-0805",126.0113,-92.9871,180.0000,bottom
"C11","100nF","SMD-0805",133.3773,-93.0506,-90.0000,bottom
"C12","100nF","SMD-0805",153.4433,-91.9711,90.0000,bottom
"C13","100nF","SMD-0805",151.1573,-83.8431,90.0000,bottom
"C14","100nF","SMD-0805",158.3963,-99.9721,-90.0000,bottom
"C15","3n3","SMD-0805",135.9173,-89.4946,90.0000,bottom
"C16","100nF","SMD-0805",138.4573,-89.3676,-90.0000,bottom
"C17","4u7","SMD-0805",143.0293,-88.5421,90.0000,bottom
"C18","2n2","SMD-0805",142.7753,-93.0506,90.0000,bottom
"C19","1nF/NP0","SMD-0805",153.4433,-88.1611,90.0000,bottom
"C20","100nF","SMD-0805",125.7573,-97.3051,-90.0000,bottom
"D1","M4","Diode-SMA_Standard",152.0463,-103.1471,180.0000,bottom
"R1","10R","SMD-0805",158.0153,-82.3191,90.0000,bottom
"R2","100","SMD-0805",131.0913,-92.0346,-90.0000,bottom
"R3","100","SMD-0805",151.4113,-96.1621,-90.0000,bottom
"R4","100","SMD-0805",146.5853,-83.8431,90.0000,bottom
"R5","100","SMD-0805",152.6813,-99.3371,180.0000,bottom
"R6","10M","SMD-0805",122.5188,-95.5271,180.0000,bottom
"R7","10k","SMD-0805",131.0913,-86.0021,-90.0000,bottom
"R8","1k","SMD-0805",133.6313,-85.9386,90.0000,bottom
"R9","4k7","SMD-0805",133.6313,-89.4946,90.0000,bottom
"R10","1k","SMD-0805",140.4893,-89.3676,90.0000,bottom
"R11","4k7","SMD-0805",140.4893,-93.0506,90.0000,bottom
"R12","10k","SMD-0805",158.3963,-92.3521,90.0000,bottom
"R13","2k2","SMD-0805",156.2373,-88.9231,0.0000,bottom
"R15","-","SMD-0805",128.0433,-97.3686,-90.0000,bottom
"U1","OPA2314","SOIC-8_3.9x4.9mm_Pitch1.27mm",126.0113,-89.1771,0.0000,bottom
"U2","OPA2314","SOIC-8_3.9x4.9mm_Pitch1.27mm",148.3633,-91.2091,0.0000,bottom
"U3","ISL21080DIH312Z-TK  1V25","SOT-23",131.1073,-97.3051,0.0000,bottom
"U4","TS7211","SOT-23-5_HandSoldering",154.4593,-83.3351,90.0000,bottom
"U5","TS5A4594","SOT-23-5_HandSoldering",157.1263,-96.1621,0.0000,bottom
"U6","LM4041CIM3-1.2(neosazovat)","SOT-23",122.8363,-98.7021,180.0000,bottom
